localidad;year;grupo_de_edad;sexo;casos;grupo_etario;poblacion;tasa_por_100000
teusaquillo;2015;15 a 17;Hombre;0;Joven;;
teusaquillo;2015;18 a 19;Hombre;0;Joven;;
teusaquillo;2015;20 a 24;Hombre;1;Joven;;
teusaquillo;2015;25 a 29;Hombre;0;Adulto;;
teusaquillo;2015;30 a 34;Hombre;0;Adulto;;
teusaquillo;2015;35 a 39;Hombre;1;Adulto;;
teusaquillo;2015;40 a 44;Hombre;0;Adulto;;
teusaquillo;2015;45 a 49;Hombre;0;Adulto;;
teusaquillo;2015;50 a 54;Hombre;1;Adulto;;
teusaquillo;2015;55 a 59;Hombre;0;Adulto;;
teusaquillo;2015;60 a 64;Hombre;0;Adulto Mayor;;
teusaquillo;2015;65 a 69;Hombre;0;Adulto Mayor;;
teusaquillo;2015;70 a 74;Hombre;0;Adulto Mayor;;
teusaquillo;2015;75 a 79;Hombre;1;Adulto Mayor;;
teusaquillo;2015;80 y más;Hombre;0;Adulto Mayor;;
teusaquillo;2015;Todos los grupos;Hombre;5;;70497.0;7.092500390087522
teusaquillo;2015;05 a 09;Mujer;0;Niño;;
teusaquillo;2015;10 a 14;Mujer;1;Niño;;
teusaquillo;2015;15 a 17;Mujer;0;Joven;;
teusaquillo;2015;18 a 19;Mujer;0;Joven;;
teusaquillo;2015;20 a 24;Mujer;1;Joven;;
teusaquillo;2015;25 a 29;Mujer;0;Adulto;;
teusaquillo;2015;30 a 34;Mujer;0;Adulto;;
teusaquillo;2015;35 a 39;Mujer;0;Adulto;;
teusaquillo;2015;40 a 44;Mujer;0;Adulto;;
teusaquillo;2015;45 a 49;Mujer;0;Adulto;;
teusaquillo;2015;50 a 54;Mujer;0;Adulto;;
teusaquillo;2015;55 a 59;Mujer;0;Adulto;;
teusaquillo;2015;60 a 64;Mujer;0;Adulto Mayor;;
teusaquillo;2015;65 a 69;Mujer;0;Adulto Mayor;;
teusaquillo;2015;70 a 74;Mujer;0;Adulto Mayor;;
teusaquillo;2015;75 a 79;Mujer;0;Adulto Mayor;;
teusaquillo;2015;80 y más;Mujer;0;Adulto Mayor;;
teusaquillo;2015;Todos los grupos;Mujer;2;;80595.0;2.4815435200694833
barrios unidos;2015;05 a 09;Hombre;0;Niño;;
barrios unidos;2015;10 a 14;Hombre;0;Niño;;
barrios unidos;2015;15 a 17;Hombre;0;Joven;;
barrios unidos;2015;18 a 19;Hombre;1;Joven;;
barrios unidos;2015;20 a 24;Hombre;0;Joven;;
barrios unidos;2015;25 a 29;Hombre;0;Adulto;;
barrios unidos;2015;30 a 34;Hombre;0;Adulto;;
barrios unidos;2015;35 a 39;Hombre;0;Adulto;;
barrios unidos;2015;40 a 44;Hombre;1;Adulto;;
barrios unidos;2015;45 a 49;Hombre;1;Adulto;;
barrios unidos;2015;50 a 54;Hombre;0;Adulto;;
barrios unidos;2015;55 a 59;Hombre;0;Adulto;;
barrios unidos;2015;60 a 64;Hombre;0;Adulto Mayor;;
barrios unidos;2015;65 a 69;Hombre;2;Adulto Mayor;;
barrios unidos;2015;70 a 74;Hombre;0;Adulto Mayor;;
barrios unidos;2015;75 a 79;Hombre;0;Adulto Mayor;;
barrios unidos;2015;80 y más;Hombre;0;Adulto Mayor;;
barrios unidos;2015;Todos los grupos;Hombre;5;;115855.0;4.3157395019636615
barrios unidos;2015;05 a 09;Mujer;0;Niño;;
barrios unidos;2015;10 a 14;Mujer;0;Niño;;
barrios unidos;2015;15 a 17;Mujer;0;Joven;;
